gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
ENSG00000249842	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249843	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0368	0.0000
OR7E43P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC02021	0.0315	0.0074	0.0104	0.0131	0.0121	0.0120	0.0000	0.0281	0.0083	0.0127	0.0181	0.0000	0.0110	0.0705	0.0109	0.0000	0.0405	0.0053	0.0146	0.0000	0.0341	0.0000	0.0060	0.0215	0.0005	0.0217	0.0296	0.0000
ENSG00000249847	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249848	0.0011	0.0034	0.0025	0.0000	0.0011	0.0014	0.0000	0.0012	0.0000	0.0025	0.0007	0.0000	0.0008	0.0041	0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	0.0000	0.0000	0.0000	0.0050	0.0059	0.0000	0.0000	0.0000
ENSG00000249849	0.0011	0.0070	0.0010	0.0019	0.0000	0.0024	0.0450	0.0059	0.0000	0.0011	0.0000	0.0000	0.0031	0.0139	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0023	0.0022	0.0063	0.0000	0.0000
KRT18P31	0.0040	0.0040	0.0017	0.0018	0.0005	0.0030	0.0195	0.0072	0.0000	0.0059	0.0020	0.2135	0.0002	0.0008	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000	0.0006	0.0010	0.0000	0.0000	0.0060	0.0000
RPS27AP18	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249852	0.0000	0.0000	0.0000	0.0000	0.0012	0.0010	0.0000	0.0002	0.0477	0.0013	0.0000	0.0000	0.0000	0.0038	0.0000	0.0000	0.0000	0.0000	0.0000	0.0144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
HS3ST5	0.0019	0.0168	0.0006	0.0016	0.0063	0.0000	0.0000	0.0033	0.0145	0.0033	0.0027	0.0000	0.0021	0.1219	0.0000	0.0000	0.0000	0.0000	0.0021	0.0000	0.0000	0.0000	0.0015	0.0010	0.0000	0.0146	0.0097	0.0133
CDH18-AS1	0.0000	0.0000	0.0004	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EEF1A1P19	0.0003	0.0026	0.0004	0.0010	0.0029	0.0004	0.0000	0.0003	0.0003	0.0009	0.0001	0.0000	0.0004	0.0000	0.0001	0.0000	0.0000	0.0004	0.0000	0.0071	0.0000	0.0000	0.0097	0.0004	0.0006	0.0000	0.0001	0.0000
ENSG00000249856	0.0025	0.0100	0.0058	0.0051	0.0142	0.0021	0.0000	0.0058	0.0022	0.0036	0.0106	0.0000	0.0032	0.0113	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0541	0.0000	0.0000	0.0015	0.0164	0.0000	0.0000	0.0075
ENSG00000249857	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SNX5P1	0.0000	0.0000	0.0004	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
PVT1	2.4194	0.0780	1.4797	0.6339	0.3010	0.2321	0.0934	0.1017	0.2201	1.4384	1.6065	0.3750	0.2591	0.2047	0.5075	0.5636	0.1232	0.1532	0.1820	1.4303	1.4972	0.0855	0.0664	0.7269	2.8966	0.5314	0.0372	0.0714
LGALS16	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249863	0.0020	0.0014	0.0017	0.0017	0.0117	0.0067	0.0000	0.0020	0.0000	0.0006	0.0034	0.0000	0.0022	0.0020	0.0038	0.0000	0.0000	0.0000	0.0000	0.0173	0.0000	0.0000	0.0000	0.0015	0.0051	0.0000	0.0000	0.0000
ENSG00000249865	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR7E83P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000
LINC02742	0.0407	0.0551	0.0335	0.0077	0.0132	0.0161	0.1484	0.0088	0.0041	0.0024	0.0148	0.0000	0.0030	0.0145	0.0405	0.0665	0.0078	0.0173	0.0000	0.0000	0.0935	0.0000	0.0000	0.0116	0.0884	0.0258	0.0000	0.1135
