gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
PON1	0.0030	0.0081	0.0000	0.0006	0.0009	0.0000	0.0000	0.0025	0.0030	0.0046	0.0000	0.0000	0.0036	0.0043	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	0.0000	0.1714	0.0000
GCFC2	0.2172	0.0657	0.1435	0.1395	0.1751	0.1699	0.1772	0.0964	0.1901	0.1955	0.1524	0.2157	0.1374	0.1520	0.0718	0.0274	0.0000	0.0276	0.1582	0.2770	0.2662	0.0000	0.0837	0.0798	0.2917	0.2013	0.1199	0.1784
WDR54	0.1255	0.0086	0.1664	0.2049	0.1230	0.0309	0.0815	0.0047	0.1148	0.0858	0.1633	0.0000	0.0150	0.0034	0.0998	0.2965	0.0207	0.0320	0.0021	0.2629	0.0830	0.0000	0.0553	0.0942	0.1336	0.0196	0.0569	0.1549
CROT	0.0712	0.0384	0.0437	0.0476	0.0733	0.0922	0.1895	0.2140	0.1356	0.1246	0.0553	0.3779	0.2280	0.1279	0.0625	0.0773	0.0000	0.1174	0.0930	0.0241	0.1373	0.1210	0.1052	0.0295	0.0915	0.2466	0.0257	0.1203
ABCB4	0.1803	0.0315	0.0027	0.0008	0.0645	0.1146	0.0000	0.0102	0.2021	0.0125	0.0058	0.0000	0.0032	0.0137	0.0072	0.0000	0.0000	0.1070	0.0548	0.0171	0.0114	0.0000	0.0001	0.0057	0.0011	0.0140	0.0004	0.0412
KMT2E	17.0031	2.3794	10.2714	9.2287	6.5047	7.0820	2.0787	2.3597	6.5501	5.3074	9.4428	21.9180	2.1831	2.9716	12.1673	11.7538	11.8784	6.1194	10.8643	3.4846	9.1723	11.9334	2.4086	6.9977	9.9520	2.8842	3.2800	3.0853
RHBDD2	0.1661	0.1086	0.3787	0.5175	0.2220	0.3875	0.3028	0.0970	0.1974	0.2559	0.3797	0.0000	0.1295	0.0728	0.8180	0.3993	0.2140	0.1915	0.2675	0.0302	0.1514	0.0000	0.1744	0.0761	0.5389	0.1004	1.0281	0.3090
SOX8	0.0024	0.0109	0.0128	0.0046	0.0146	0.0000	0.0000	0.0038	0.3987	0.0100	0.0103	0.0000	0.0038	0.0142	0.0075	0.0000	0.0000	0.0000	0.0030	0.0275	0.0050	0.0000	0.0000	0.0021	0.0000	0.0000	0.0097	0.0000
IBTK	0.4686	1.1812	0.2900	0.2400	0.2604	0.8021	0.6144	0.7557	0.3124	0.3309	0.3984	0.4270	0.6564	1.0780	0.3475	0.3423	0.2949	0.7314	1.0307	0.1107	0.3919	0.6931	0.6606	0.6976	0.3944	0.6075	0.4590	0.8647
ZNF195	0.1802	0.1703	0.2140	0.2542	0.0979	0.1266	0.0448	0.1794	0.1664	0.1269	0.2764	0.0000	0.1831	0.2554	0.1565	0.1969	0.0222	0.1889	0.0687	0.4949	0.2374	0.2361	0.2214	0.0865	0.2315	0.2400	0.3200	0.3917
MYCBP2	4.9317	0.3592	1.8163	1.4900	2.1395	2.3192	0.3161	0.2582	0.9806	1.6343	1.4505	4.5995	0.3247	0.5975	1.4357	2.9445	1.3328	2.4250	2.6223	2.6630	4.2692	2.6086	0.1101	1.5672	4.1578	0.4601	0.9176	0.6903
FBXL3	0.5673	0.3626	0.4760	0.4803	0.4141	0.3134	0.4417	0.4936	0.4010	0.4241	0.4950	0.0000	0.4609	0.3564	0.4073	0.6768	0.3919	0.3332	0.3406	0.3219	0.6734	0.2714	0.2977	0.2244	0.5597	0.4047	0.2210	0.3870
ITGAL	0.3049	0.0129	0.5149	0.5809	0.0054	0.1443	0.0000	0.0075	0.0124	0.0144	0.6616	0.0716	0.0006	0.0071	0.1364	0.4047	0.0867	0.0722	0.1649	0.0001	0.7220	1.8741	0.0001	0.7461	1.1295	0.0114	0.0034	0.0000
PDK2	0.0274	0.3179	0.0300	0.0523	0.0735	0.0281	0.1437	0.1834	0.1603	0.1055	0.0502	0.0000	0.2774	0.2731	0.0450	0.0585	0.0000	0.0115	0.0037	0.4196	0.0169	0.0000	0.1546	0.0435	0.0379	0.2081	0.2959	0.1841
ITGA3	0.0594	0.1341	0.0506	0.0527	0.1663	0.0090	0.0872	0.4961	0.1045	0.0214	0.0578	0.0000	0.2873	0.2979	0.0168	0.0325	0.0078	0.0126	0.0000	0.2818	0.0368	0.0000	0.1179	0.0349	0.0755	0.2457	0.4661	0.2143
ZFX	1.2117	0.4394	0.8510	0.6831	0.6358	1.0913	0.2435	0.3079	0.3379	0.6432	1.1193	0.7116	0.3486	0.4515	0.8317	0.9612	0.8545	0.7738	1.8705	0.2458	1.2604	1.2650	0.3338	0.6185	1.0844	0.3735	0.6596	0.7414
LAMP2	0.2671	0.2595	0.2021	0.2853	1.2139	1.8320	0.5055	0.2971	2.9606	1.3210	0.2849	0.0677	0.4325	0.3449	0.1897	0.3743	1.0054	1.0815	0.8335	0.6834	0.2752	0.3639	0.6457	0.5992	0.3096	0.3454	0.3552	0.5303
ITGA2B	0.0109	0.0066	0.0116	0.0149	0.0094	0.0032	0.0000	0.0041	0.0135	0.0133	0.0172	0.0000	0.0022	0.0185	0.0132	0.0000	0.0065	0.0000	0.0128	0.0000	0.0000	0.0000	0.0000	0.0055	0.0109	0.0312	0.0004	0.0000
ASB4	0.0000	0.0014	0.0003	0.0005	0.0074	0.0000	0.0152	0.0007	0.0178	0.0145	0.0008	0.0000	0.0043	0.0145	0.0000	0.0000	0.0000	0.0000	0.0000	0.0360	0.0000	0.0000	0.0153	0.0000	0.0000	0.0111	0.0004	0.0077
GDE1	0.1183	0.4521	0.4348	0.4813	0.1889	0.3196	0.0584	0.4122	0.1556	0.2331	0.3767	0.6475	0.7232	0.3728	0.2089	0.5012	0.2340	0.3386	0.0672	0.1819	0.1405	0.2784	1.4293	0.1070	0.1968	0.4690	0.4866	0.3935
REX1BD	0.4001	0.3360	0.3411	0.4363	0.6568	0.7487	0.9362	0.6008	0.4258	0.6918	0.4806	0.0000	0.8461	0.3006	0.5728	0.5678	0.3151	0.4953	0.1603	0.6524	0.3707	0.7394	0.4531	0.4055	0.3608	0.8072	0.4930	0.3929
CRLF1	0.0182	0.0184	0.0114	0.0118	0.0148	0.0063	0.0000	0.0114	0.0255	0.0954	0.0334	0.0000	0.0056	0.0089	0.0231	0.0000	0.0000	0.0000	0.0102	0.2553	0.0216	0.0000	0.0098	0.0128	0.0126	0.0206	0.0005	0.0000
OSBPL7	0.0433	0.0848	0.2370	0.3588	0.1264	0.0473	0.0198	0.2563	0.0257	0.0243	0.3607	0.0000	0.1744	0.4200	0.0571	0.0846	0.0000	0.0424	0.0119	0.0172	0.0747	1.2740	0.1495	0.0486	0.1180	0.2395	0.0743	0.1207
TMEM98	0.0038	0.0461	0.0012	0.0000	0.1336	0.0009	0.0841	0.2626	0.0651	0.2944	0.0000	0.0000	0.7795	0.2608	0.0000	0.0000	0.0000	0.0000	0.0000	0.2333	0.0089	0.0000	1.6032	0.0015	0.0000	0.5879	0.3697	0.6159
YBX2	0.0027	0.0534	0.0000	0.0007	0.0109	0.0014	0.0000	0.0905	0.0000	0.0014	0.0025	0.0000	0.0834	0.0463	0.0031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0002	0.0000	0.3612	0.0003	0.0075
KRT33A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000
MAP3K14	0.6012	0.4529	0.5566	0.4244	0.2597	0.3175	0.3596	0.5249	0.3747	0.2908	0.5858	0.4847	0.5921	0.8265	0.4412	0.3421	0.0327	0.3155	0.4125	0.1881	0.6700	0.6066	0.2855	0.2755	0.7813	0.4966	0.3077	1.0009
ABCC8	0.0033	0.0081	0.0000	0.0000	0.1377	0.0000	0.4706	0.0091	0.0000	0.0024	0.0000	0.0000	0.0024	0.0141	0.0000	0.0000	0.0123	0.0000	0.0060	0.0209	0.0000	0.0000	0.0017	0.0003	0.0000	0.0000	0.0255	2.2535
CACNG3	0.0026	0.0054	0.0036	0.0009	0.0000	0.0019	0.0000	0.0014	0.0121	0.0005	0.0021	0.0000	0.0000	0.0026	0.0045	0.0000	0.0000	0.0316	0.0105	0.0000	0.0176	0.0000	0.0000	0.0003	0.0041	0.0057	0.0031	0.0000
TMEM132A	0.0155	0.0000	0.0002	0.0000	0.0988	0.0031	0.0000	0.0029	0.1650	0.0134	0.0000	0.0000	0.0044	0.0039	0.0000	0.0000	0.0000	0.0000	0.0044	0.0177	0.0000	0.0000	0.0032	0.0010	0.0000	0.0035	0.0000	0.0438
AP2B1	1.6068	0.5757	1.9229	2.0570	1.0692	0.9599	0.7461	0.8207	0.9104	1.0602	2.1200	1.2266	1.4323	1.3151	1.8256	1.6016	0.9113	1.1523	0.9962	0.6375	2.2204	0.7975	0.6866	0.6059	1.6025	1.5602	1.1768	1.1032
TAC1	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0062	0.1446	0.0000	0.0000	0.0054	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0304	0.0000	0.0000	0.0000	0.0000	0.0398
ZNF263	0.2071	0.1084	0.1580	0.1607	0.2154	0.2030	0.4562	0.0826	0.1823	0.1611	0.1590	0.2679	0.1088	0.0964	0.0898	0.2172	0.0936	0.1170	0.1756	0.4098	0.1471	0.1134	0.2005	0.0593	0.1349	0.1375	0.1480	0.0960
CX3CL1	0.0037	0.0044	0.0002	0.0008	0.6763	0.0060	0.0000	0.0023	0.0061	0.0400	0.0014	0.0000	0.0081	0.0018	0.0000	0.0000	0.0000	0.0000	0.0054	0.3068	0.0000	0.0000	0.0000	0.0005	0.0031	0.0056	0.1701	0.0000
SPATA20	0.0738	0.0935	0.0288	0.0384	0.1339	0.1321	0.4043	0.1853	0.0566	0.1151	0.0333	0.0000	0.1806	0.1864	0.0657	0.1421	0.2135	0.1587	0.0493	0.0664	0.0141	0.0000	0.1928	0.0413	0.0151	0.1770	0.2649	0.1174
CACNA1G	0.0015	0.0020	0.0013	0.0000	0.0000	0.0107	0.0000	0.0034	0.0161	0.0204	0.0008	0.0000	0.0021	0.0077	0.0061	0.0000	0.0000	0.0000	0.0081	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0722	0.0000
TNFRSF12A	0.0044	0.4529	0.0985	0.1340	0.3222	0.0434	0.0000	0.1386	1.3779	0.6357	0.0905	0.0000	0.3360	0.0551	0.1344	0.0631	0.0180	0.0722	0.0395	1.7824	0.0142	0.0000	1.9239	0.0372	0.0445	0.4243	0.0055	0.1347
DLX6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0248	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0050	0.0000	0.0000
MAP3K9	0.2688	0.1197	0.1831	0.1933	0.0230	0.0513	0.1467	0.1033	0.0007	0.0129	0.1922	0.2046	0.0864	0.1868	0.1408	0.1122	0.0156	0.0389	0.0316	0.0000	0.2413	0.0000	0.1013	0.2004	0.2614	0.2309	0.1849	0.2544
RALA	0.9155	0.8596	1.3630	0.9326	0.8735	1.8135	0.2452	0.5182	0.5699	0.5865	1.4408	0.5646	0.8430	0.6085	0.6101	1.3930	0.9124	2.3676	3.4009	0.2780	1.1086	0.7917	0.6551	0.8049	0.9287	0.7508	0.4693	1.0461
BAIAP2L1	0.0728	2.2400	0.0203	0.0092	0.5345	0.0379	0.8555	2.4374	0.0120	0.0086	0.0154	0.0000	2.5820	3.6229	0.0245	0.0355	0.0866	0.0360	0.0318	0.0000	0.0486	0.0000	1.6818	0.0668	0.0352	2.3574	0.3704	6.3536
KDM7A	0.9814	0.5273	0.9645	0.6686	0.4515	1.1074	1.6526	0.8959	0.4851	0.8349	0.8531	1.9513	0.6536	2.0772	0.3924	0.2713	1.7194	0.8175	1.5808	0.8570	2.1497	1.5473	0.5659	0.1596	1.1672	0.6808	1.4582	3.1771
ETV1	0.0000	0.0148	0.0038	0.0055	0.0972	0.0132	0.0577	0.0107	0.0547	0.1271	0.0042	0.0000	0.0035	0.0225	0.0070	0.0000	0.0000	0.0000	0.0075	0.1016	0.0000	0.0000	0.0048	0.0007	0.0141	0.0283	0.0005	2.9285
AGK	0.2781	0.0477	0.1476	0.1451	0.2521	0.1546	0.1078	0.0703	0.2458	0.1244	0.2431	0.0716	0.0868	0.0824	0.1312	0.2583	0.0706	0.1556	0.1656	0.0422	0.2831	0.2795	0.1096	0.2024	0.2946	0.1214	0.2874	0.1465
ALDH3B1	0.0000	0.0084	0.0023	0.0000	0.0216	0.2648	0.0000	0.0325	0.2886	0.0776	0.0006	0.0000	0.0438	0.0236	0.0613	0.0000	0.2609	0.2031	0.1054	0.0230	0.0000	0.0000	0.0246	0.0031	0.0012	0.0593	0.0298	0.0099
TTC22	0.0064	0.3366	0.0221	0.0242	0.0000	0.0037	0.0152	0.2075	0.0053	0.0016	0.0664	0.0000	0.1773	0.1811	0.0146	0.0798	0.0000	0.0000	0.0075	0.0000	0.0054	0.0000	0.3594	0.0108	0.0441	0.1102	0.2276	0.1403
PHTF2	2.0520	0.5248	1.4635	0.5681	0.4513	1.0233	0.1053	0.3190	0.2948	0.3812	0.8026	1.5403	0.1819	0.4680	0.7628	1.3856	0.2192	0.6372	1.4955	0.1676	0.8728	0.5544	0.0889	0.2524	2.4828	0.4130	0.2219	0.6327
CCL26	0.0013	0.0088	0.0006	0.0011	0.0034	0.0007	0.0000	0.0143	0.0054	0.1079	0.0006	0.0000	0.0039	0.1463	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	0.0226	0.0242	0.0680
FARP2	1.7684	1.0355	0.3710	0.3134	0.5446	0.8348	1.4399	0.9729	1.0112	0.7475	0.4714	0.3321	0.8982	2.0056	1.1981	0.5123	0.3388	1.1235	1.7223	0.4896	0.3209	0.6151	0.4707	0.7395	0.2974	1.0689	2.6398	2.2961
USH1C	0.0050	0.8121	0.0025	0.0008	0.0054	0.0014	0.8141	0.8248	0.0776	0.0013	0.0000	0.0000	0.8817	0.7461	0.0085	0.0000	0.0224	0.0000	0.0076	0.0000	0.0000	0.0000	1.0870	0.0021	0.0000	0.6192	2.1171	0.7110
GGCT	0.0397	0.0678	0.0559	0.0876	0.2535	0.2115	0.0152	0.1661	0.4596	0.1403	0.0834	0.2687	0.7795	0.0645	0.1323	0.1810	0.0758	0.2007	0.0288	0.2789	0.0229	0.0000	0.3363	0.0382	0.0527	0.7744	0.0296	0.1878
DBF4	0.6061	0.0883	0.7868	0.9061	0.1949	0.3074	0.0000	0.1106	0.0491	0.1656	1.0142	1.2036	0.1781	0.2165	0.4996	0.9447	0.1084	0.2247	0.3822	0.1142	0.7554	0.5285	0.1397	0.3127	1.0687	0.5316	0.1599	0.1666
TBXA2R	0.0076	0.0011	0.0017	0.0013	0.0983	0.0000	0.0000	0.0012	0.0073	0.0176	0.0032	0.0000	0.0000	0.0050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0908	0.0116	0.0000	0.0000	0.0005	0.0000	0.0083	0.0000	0.0000
IFRD1	0.3056	1.8532	0.4640	0.5133	1.2352	1.2522	0.3265	1.5294	2.0904	1.6726	0.5297	1.4717	1.3609	1.2576	0.6852	0.5739	0.9381	1.1376	1.3602	1.5714	0.5063	0.3139	1.3336	0.3495	0.2655	0.8704	0.3623	1.2707
LGALS14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0022	0.0000	0.0000	0.0000
COX10	0.2899	0.2766	0.1598	0.1671	0.1719	0.1751	1.1903	0.5189	0.1242	0.1377	0.2511	0.0000	0.4935	0.7268	0.1854	0.2321	0.0321	0.1586	0.2805	0.1561	0.4108	0.5847	0.6144	0.1174	0.3009	0.4172	0.2442	1.2057
GTF2IRD1	0.0355	0.1354	0.0436	0.0147	0.1201	0.5085	0.1271	0.1522	1.0521	0.4025	0.0213	0.0000	0.2857	0.2834	0.4434	0.0000	0.2583	0.2513	1.1181	0.0775	0.0356	0.0000	0.1828	0.0218	0.0482	0.3716	0.2439	1.0177
PAF1	0.3973	0.2233	0.6753	1.0070	0.6924	0.1653	0.3524	0.1917	0.4201	0.4006	0.6610	0.0000	0.1900	0.2284	0.4061	0.5044	0.1665	0.1949	0.0828	0.4771	0.2105	0.2129	0.4065	0.1808	0.3847	0.2627	0.0723	0.2604
VPS41	0.8676	0.4335	0.3467	0.2962	0.3803	0.8584	1.7634	0.3122	0.1796	0.3103	0.4866	2.5044	0.2853	0.6022	0.3063	0.5222	0.3559	0.8429	1.0726	0.1495	0.6746	0.3411	0.2731	0.2956	0.5837	0.3202	0.7652	1.2404
ARHGAP44	0.1117	0.1705	0.0090	0.0066	0.1387	0.0131	1.0849	1.1416	0.0122	0.1561	0.0158	0.0000	0.7581	0.4956	0.0301	0.0000	0.0000	0.0178	0.0290	0.1190	0.0047	0.0000	0.1495	0.0694	0.0149	0.7932	0.4605	0.9281
ELAC2	0.1377	0.0813	0.1174	0.1010	0.0925	0.1098	0.2127	0.1367	0.1360	0.0844	0.1500	0.4861	0.1485	0.1142	0.0924	0.2564	0.0072	0.1548	0.0789	0.0691	0.1704	0.1487	0.2215	0.1120	0.1072	0.1954	0.2784	0.2645
SCIN	0.0307	4.6624	0.0050	0.0065	0.0000	0.0602	0.1496	1.3941	0.0000	0.0011	0.0015	0.0000	0.3504	1.3458	0.0971	0.0000	0.0081	0.0192	0.0599	0.0000	0.0383	0.0000	0.9036	0.0190	0.0184	0.4180	0.0532	0.1753
ARSD	0.0772	0.2432	0.0093	0.0162	0.1300	0.2295	0.4253	0.4110	0.1128	0.0843	0.0240	0.0000	0.6883	0.3926	0.2054	0.1075	0.0478	0.3299	0.0996	0.0384	0.0115	0.0000	0.4333	0.0054	0.0057	0.5485	0.6441	0.6377
PNPLA4	0.0620	0.0483	0.0137	0.0269	0.0425	0.1056	0.0885	0.1025	0.0199	0.0273	0.0287	0.0000	0.2924	0.0666	0.0378	0.0086	0.0628	0.0996	0.0174	0.0382	0.0188	0.0000	0.2219	0.0704	0.0225	0.2175	0.0273	0.1820
MYH13	0.0050	0.0065	0.0015	0.0028	0.0000	0.0041	0.0000	0.0033	0.0034	0.0503	0.0000	0.0000	0.0003	0.0039	0.0000	0.0000	0.0123	0.0000	0.0093	0.0000	0.0284	0.0000	0.0000	0.0028	0.0035	0.0031	0.0116	0.0000
ADIPOR2	0.8983	3.4015	0.9529	0.8806	1.1032	0.8161	2.4568	2.6200	1.7124	0.7472	1.2307	0.9536	2.0593	2.6734	1.1466	0.7953	0.5142	0.6352	0.9665	0.4104	1.0219	0.9297	1.1133	0.2680	1.0472	1.7194	0.6506	3.2385
CDKL3	0.0057	0.0068	0.0074	0.0070	0.0114	0.0014	0.0000	0.0101	0.0384	0.0162	0.0083	0.0000	0.0040	0.0140	0.0000	0.0000	0.0000	0.0000	0.0180	0.0000	0.0000	0.0000	0.0020	0.0044	0.0022	0.0068	0.0000	0.0000
UPP2	0.0122	0.1224	0.0170	0.0095	0.0102	0.0021	0.0396	0.0320	0.0628	0.0424	0.0144	0.0000	0.0071	0.0382	0.1419	0.0000	0.0000	0.0117	0.0025	0.0000	0.0062	0.0000	0.0000	0.0301	0.0294	0.0333	0.0000	0.0771
PRSS21	0.0132	0.0000	0.0113	0.0072	0.0000	0.0048	0.0000	0.0005	0.0019	0.0021	0.0282	0.0000	0.0039	0.0005	0.0134	0.0000	0.0000	0.0000	0.0015	0.0000	0.0048	0.0000	0.0602	0.0260	0.0233	0.0063	0.0021	0.0136
MARK4	0.2430	0.1225	0.2356	0.2213	0.3135	0.1802	0.2573	0.0779	0.1378	0.2124	0.3888	0.4826	0.0741	0.1380	0.3085	0.2841	0.1675	0.2206	0.3362	0.2848	0.3028	0.7201	0.0463	0.1920	0.2921	0.1027	0.1256	0.1267
PROM1	0.0042	0.4651	0.0045	0.0021	0.0035	0.0000	0.4687	0.9160	0.0000	0.1786	0.0058	0.0000	0.4071	0.0744	0.1722	0.0000	0.0912	0.0000	0.0060	0.0000	0.0000	0.0000	0.4840	0.0014	0.0080	0.3289	0.0393	0.4927
CCDC124	0.1816	0.2407	0.1710	0.2066	0.4327	0.2197	0.1024	0.2323	0.3374	0.2868	0.1767	0.3893	0.4012	0.1313	0.1364	0.1768	0.2501	0.4941	0.0607	0.6868	0.1165	0.2064	0.2676	0.1200	0.1353	0.4931	0.2165	0.1906
CEACAM21	0.1116	0.0018	0.2647	0.2541	0.0190	0.0305	0.0000	0.0017	0.0006	0.0035	0.5197	0.0000	0.0006	0.0044	0.0524	0.2061	0.0000	0.0000	0.0629	0.0000	0.1542	0.1067	0.0002	0.2386	0.3105	0.0000	0.0000	0.0000
PAFAH1B1	3.3636	1.9632	2.9715	2.5378	1.7836	2.1252	1.3039	1.4972	1.5990	1.7381	3.0478	4.6394	1.2759	2.0253	2.9819	2.6379	3.9132	1.8843	3.5688	1.1017	3.3662	3.2763	0.8950	1.6971	3.0945	1.3260	2.3240	3.1159
NOS2	0.0000	0.0221	0.0034	0.0000	0.0062	0.0050	0.0000	0.0208	0.0000	0.0002	0.0008	0.0000	0.0336	0.0091	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0069	0.0001	0.0000	0.0764	0.0009	0.0171
DNAH9	0.0451	0.0254	0.0120	0.0132	0.0040	0.0000	0.0358	0.0539	0.0170	0.0172	0.0216	0.0000	0.0112	0.0431	0.0475	0.0000	0.0000	0.0000	0.0013	0.0000	0.0453	0.0000	0.0057	0.0111	0.0528	0.0052	0.0317	0.0154
BLTP2	0.3259	0.1903	0.3012	0.3158	0.3143	0.4077	0.0665	0.2061	0.2138	0.1889	0.4511	0.6750	0.2161	0.2195	0.2726	0.3734	0.2077	0.2913	0.3404	0.0912	0.3139	0.3573	0.0702	0.1613	0.4241	0.2592	0.6300	0.2138
SLC13A2	0.0000	0.0225	0.0013	0.0009	0.0037	0.0000	0.0450	0.2252	0.0000	0.0013	0.0020	0.0000	0.0587	0.0617	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0052	0.0000	0.0109	0.0013	0.0000	0.0489	0.0002	0.0000
GAS7	0.1611	0.0067	0.0838	0.1882	0.4682	6.4136	0.0450	0.0048	4.2229	1.6310	0.1136	0.9622	0.0056	0.0187	2.1229	0.8085	3.0728	6.1276	11.5910	0.0001	0.0879	2.1610	0.0176	0.1284	0.0381	0.0110	2.0984	0.0000
TRAPPC6A	0.2055	0.1532	0.1718	0.2304	0.2452	0.3319	0.0650	0.3214	0.1414	0.1779	0.2422	0.0000	1.0323	0.2209	0.1481	0.0934	0.1286	0.1422	0.0352	0.0430	0.1430	0.6196	0.8160	0.1671	0.1264	0.7438	0.2633	0.5940
MATK	0.0535	0.0009	0.1399	0.2758	0.0065	0.0843	0.0000	0.0020	0.0000	0.0005	0.2851	0.0000	0.0047	0.0034	0.2346	0.2730	0.0387	0.1418	0.0684	0.0000	0.0619	1.1007	0.0000	0.0022	0.0675	0.0022	2.8389	0.0281
CEACAM7	0.0243	3.0976	0.0102	0.0028	0.0000	0.0000	0.4235	4.9536	0.0022	0.0054	0.0066	0.0000	0.2767	0.8915	0.0241	0.0000	0.1881	0.0000	0.0042	0.0000	0.0288	0.1821	1.2085	0.0250	0.0037	0.1069	0.1568	0.1037
CD79B	0.6544	0.0000	0.0150	0.0147	0.1247	0.0095	0.0000	0.0006	0.0017	0.0058	0.0050	0.0000	0.0000	0.0000	0.0432	0.0185	0.0000	0.0126	0.0014	0.0000	0.0000	0.5695	0.0000	0.2591	0.0710	0.0000	0.0528	0.0000
SCN4A	0.0049	0.0000	0.0007	0.0015	0.0272	0.0000	0.0000	0.0021	0.0000	0.0052	0.0032	0.0000	0.0011	0.0029	0.0054	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0016	0.0000	0.0055	0.0080	0.0000
ST7L	0.2631	0.2807	0.1957	0.1419	0.2790	0.3096	0.0831	0.2085	0.2114	0.3152	0.1638	0.9421	0.1623	0.2728	0.2221	0.1481	0.1795	0.0681	0.3690	0.1105	0.5658	0.4150	0.1247	0.1385	0.3803	0.3078	0.5383	0.3682
TKTL1	0.0258	0.0000	0.0205	0.0114	0.0065	0.0179	0.0621	0.0008	0.0548	0.0356	0.0107	0.0000	0.0018	0.0004	0.0000	0.0000	0.2864	0.0249	0.0269	0.0000	0.0572	0.0000	0.0000	0.0188	0.0281	0.0109	0.0000	0.0000
PAX6	0.0008	0.0459	0.0015	0.0003	0.0000	0.0055	0.3371	0.0039	0.0075	0.0014	0.0005	0.0000	0.0003	0.0002	0.0034	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0018	0.0032	0.0008	0.0094	0.5491
RPUSD1	0.0377	0.0799	0.0447	0.0622	0.0837	0.0459	0.0391	0.0755	0.0445	0.0315	0.0662	0.0000	0.1084	0.0396	0.0224	0.0256	0.0513	0.0544	0.0078	0.0161	0.0057	0.1789	0.0438	0.0360	0.0303	0.1152	0.0505	0.0154
RHBDF1	0.0036	0.1977	0.0018	0.0008	0.1496	0.0008	0.0000	0.0903	0.2526	0.1790	0.0016	0.0000	0.0200	0.1134	0.0000	0.0000	0.0000	0.0164	0.0009	0.4138	0.0096	0.0000	0.0598	0.0045	0.0025	0.0415	0.0294	0.0000
LUC7L	1.4315	0.4827	1.2895	1.1881	1.0525	0.7617	1.1983	0.3801	0.7785	0.8901	1.2654	2.3749	0.3451	0.6538	1.1236	1.1473	0.7163	0.6040	1.3494	0.5963	1.7632	0.8645	0.4537	0.7707	1.4711	0.4592	1.0915	0.9707
CACNA2D2	0.0105	0.0131	0.0924	0.0697	0.0306	0.0000	0.0000	0.0073	0.0101	0.0359	0.0922	0.0677	0.0055	0.3160	0.1792	0.0000	0.0053	0.0110	0.0026	0.0723	0.0409	0.0000	0.0134	0.0200	0.0502	0.0336	0.4100	0.0393
BAIAP3	0.2364	0.0016	0.0937	0.0738	0.0009	0.0155	0.0956	0.0395	0.0019	0.0129	0.1368	0.7714	0.0326	0.0132	0.0181	0.0276	0.0000	0.0000	0.0053	0.0000	0.0140	0.0000	0.0239	0.0636	0.0432	0.0122	0.0107	0.3122
TSR3	0.2510	0.1957	0.3454	0.4120	0.2026	0.1523	0.1265	0.1577	0.2268	0.2026	0.3288	0.0000	0.3546	0.0887	0.2287	0.3119	0.2784	0.1091	0.0595	0.1617	0.0666	0.2341	0.1254	0.1791	0.1413	0.2996	0.1138	0.1674
