gene	tau	top_cell_state	top_expr	n_states
ZNF207	0.3531	innate lymphoid cell	1.9484	28
UQCRC1	0.8885	paneth cell of colon	6.4203	28
STARD3NL	0.4974	innate lymphoid cell	0.7964	28
CD9	0.8835	enteroglial cell	17.4749	28
HHATL	0.9813	myofibroblast cell	0.0151	28
NCAPD2	0.8455	transit amplifying cell of colon	0.5381	28
IFFO1	0.7038	colon macrophage	0.1544	28
GIPR	0.7631	type L enteroendocrine cell	0.6992	28
PHF7	0.7371	transit amplifying cell of colon	0.3424	28
SEMA3G	0.9107	enterochromaffin-like cell	0.1920	28
NISCH	0.8139	type L enteroendocrine cell	1.6219	28
STAB1	0.9453	colon macrophage	5.0816	28
FUZ	0.8413	mature NK T cell	0.2784	28
SLC6A13	0.8822	mature NK T cell	0.0091	28
IDS	0.7755	CD8-positive, alpha-beta T cell	1.7637	28
PRSS3	0.8427	BEST4+ enterocyte	5.1021	28
ZNF200	0.7881	innate lymphoid cell	0.2010	28
CD4	0.9242	colon macrophage	2.1136	28
LRRC23	0.7630	enteroglial cell	1.3643	28
BTK	0.8224	colon macrophage	0.8062	28
HFE	0.8305	colon macrophage	0.1685	28
SCMH1	0.5872	B cell	1.7886	28
FYN	0.7965	gamma-delta T cell	38.3860	28
HIVEP2	0.7521	innate lymphoid cell	12.5563	28
FMO1	0.8065	tuft cell of colon	0.0124	28
ELOA	0.4894	paneth cell of colon	0.4658	28
LYPLA2	0.5387	BEST4+ enterocyte	0.3517	28
CLCN6	0.6690	myeloid leukocyte	0.4586	28
MRC2	0.9372	myeloid dendritic cell	1.2921	28
NME1-NME2	0.9067	myofibroblast cell	0.0094	28
SLC6A7	0.8010	BEST4+ enterocyte	0.1957	28
TSPAN9	0.9282	colon endothelial cell	0.9625	28
BTBD7	0.8226	myeloid leukocyte	8.3346	28
APBA3	0.5272	myeloid dendritic cell	0.1198	28
MKS1	0.8904	innate lymphoid cell	0.2679	28
ABHD5	0.7739	myeloid leukocyte	4.2218	28
ANOS1	0.9076	myofibroblast cell	0.0851	28
AKAP8L	0.7113	innate lymphoid cell	1.8998	28
MBTD1	0.5063	naive thymus-derived CD4-positive, alpha-beta T cell	0.9419	28
UTP18	0.5599	naive thymus-derived CD4-positive, alpha-beta T cell	0.6528	28
RNF216	0.7440	naive thymus-derived CD4-positive, alpha-beta T cell	3.1083	28
TTC19	0.6160	innate lymphoid cell	2.9398	28
