gene	tau	top_cell_state	top_expr	n_states
ENSG00000227066	1.0000	hematopoietic cell	0.0043	21
PLA2G2C	0.9220	hematopoietic cell	0.0118	21
UBXN10	0.8522	mesothelial cell	0.0862	21
VWA5B1	0.8888	colon epithelial cell	0.0019	21
CAMK2N1	0.6327	colon epithelial cell	0.8009	21
MUL1	0.3629	endothelial cell of artery	0.2358	21
FAM43B	0.9079	fibroblast	0.0217	21
CDA	0.8768	endothelial cell of lymphatic vessel	0.3231	21
PINK1	0.6041	endothelial cell of artery	0.3775	21
PINK1-AS	0.5186	colon epithelial cell	0.0149	21
DDOST	0.3531	colon epithelial cell	1.9833	21
KIF17	0.9071	vein endothelial cell	0.3444	21
SH2D5	0.7582	enteroendocrine cell	0.0019	21
HP1BP3	0.4088	mesodermal cell	1.7905	21
EIF4G3	0.4948	endothelial cell of artery	0.5104	21
ECE1	0.8262	endothelial cell of artery	1.2670	21
ENSG00000236936	0.8837	stem cell	0.0127	21
ECE1-AS1	0.8005	myofibroblast cell	0.0029	21
NBPF3	0.5819	mesodermal cell	0.0512	21
ALPL	0.9620	endothelial cell of artery	0.8008	21
LINC02596	0.9738	endothelial cell of artery	0.0009	21
RAP1GAP	0.7651	neural crest cell	0.2148	21
USP48	0.4107	endothelial cell of lymphatic vessel	0.6680	21
LDLRAD2	0.9279	endothelial cell of artery	0.0512	21
HSPG2	0.9615	endothelial cell of artery	13.8268	21
CELA3B	0.9657	enteroendocrine cell	0.5796	21
CELA3A	0.9668	stem cell	1.5603	21
LINC01635	0.9009	hematopoietic cell	0.0071	21
LINC00339	0.3644	vein endothelial cell	0.0878	21
CDC42	0.4487	endothelial cell of artery	4.7988	21
WNT4	0.9550	fibroblast	0.0882	21
ZBTB40	0.4355	enteric neuron	0.1183	21
EPHA8	0.9250	endothelial cell of lymphatic vessel	0.0323	21
C1QA	0.9987	hematopoietic cell	18.0891	21
C1QC	0.9989	hematopoietic cell	15.4603	21
C1QB	0.9987	hematopoietic cell	12.9812	21
EPHB2	0.6579	stem cell	0.4424	21
TEX46	0.8154	mesothelial cell	0.0025	21
KDM1A	0.5680	enteric neuron	0.8769	21
ENSG00000240553	0.9448	fibroblast	0.0002	21
LUZP1	0.7462	endothelial cell of artery	1.5819	21
HTR1D	0.8548	myofibroblast cell	0.0154	21
LINC01355	0.6287	mesothelial cell	0.0950	21
HNRNPR	0.4319	neural crest cell	3.0312	21
ZNF436	0.7542	vein endothelial cell	0.2443	21
ZNF436-AS1	0.5306	mesothelial cell	0.1098	21
ENSG00000271420	0.7912	colon epithelial cell	0.0086	21
TCEA3	0.7465	intestine goblet cell	0.5965	21
ASAP3	0.6084	myofibroblast cell	0.1757	21
E2F2	0.6704	erythroblast	0.0729	21
ENSG00000235052	0.8176	mesothelial cell	0.0029	21
ID3	0.6533	endothelial cell of artery	7.5683	21
MDS2	0.8910	endothelial cell of lymphatic vessel	0.0064	21
RPL11	0.3934	stem cell	76.3040	21
ELOA	0.3512	endothelial cell of artery	0.2867	21
ELOA-AS1	0.4227	progenitor cell	0.1436	21
PITHD1	0.4860	erythroblast	0.7928	21
LYPLA2	0.3723	epithelial cell	0.7200	21
GALE	0.6846	epithelial cell	0.9010	21
HMGCL	0.5608	enterocyte	0.7231	21
FUCA1	0.5484	colon epithelial cell	0.4032	21
CNR2	0.7918	interstitial cell of Cajal	0.0049	21
PNRC2	0.3859	epithelial cell	1.5179	21
SRSF10	0.3552	neural crest cell	2.1587	21
ENSG00000225315	0.9202	colon epithelial cell	0.0028	21
MYOM3	0.8158	stem cell	0.1285	21
IL22RA1	0.8302	enterocyte	0.1491	21
IFNLR1	0.7851	epithelial cell	0.0662	21
GRHL3	0.9342	enteroendocrine cell	0.0057	21
STPG1	0.6449	endothelial cell of lymphatic vessel	0.1306	21
NIPAL3	0.5286	mesothelial cell	0.1693	21
RCAN3	0.8025	enteroendocrine cell	0.3666	21
NCMAP	0.7461	enterocyte	0.0311	21
SRRM1	0.2310	mesodermal cell	1.9471	21
CLIC4	0.8105	endothelial cell of artery	2.7481	21
RUNX3	0.9976	hematopoietic cell	0.6152	21
ENSG00000261025	0.9878	hematopoietic cell	0.0006	21
ENSG00000231953	0.7534	neural crest cell	0.0039	21
SYF2	0.3248	mesodermal cell	1.7258	21
RSRP1	0.7051	mesothelial cell	3.2573	21
ENSG00000272432	0.6404	interstitial cell of Cajal	0.0080	21
RHD	0.9817	erythroblast	0.1686	21
TMEM50A	0.6558	endothelial cell of lymphatic vessel	2.7564	21
RHCE	0.9742	erythroblast	0.3415	21
MACO1	0.6077	enteric neuron	0.4792	21
LDLRAP1	0.8246	endothelial cell of artery	0.5134	21
MAN1C1	0.7171	endothelial cell of lymphatic vessel	0.1858	21
ENSG00000233478	0.7272	endothelial cell of artery	0.0359	21
SELENON	0.7607	endothelial cell of artery	1.1143	21
ENSG00000228172	0.5643	stem cell	0.0079	21
MTFR1L	0.3945	myofibroblast cell	0.5715	21
AUNIP	0.4072	neural crest cell	0.0444	21
ENSG00000236528	0.9366	hematopoietic cell	0.0127	21
PAQR7	0.4909	enterocyte	0.3023	21
