gene	colon epithelial cell	endothelial cell of artery	endothelial cell of lymphatic vessel	enteric neuron	enteric smooth muscle cell	enterocyte	enteroendocrine cell	epithelial cell	erythroblast	fibroblast	hematopoietic cell	interstitial cell of Cajal	intestine goblet cell	mesodermal cell	mesothelial cell	myofibroblast cell	neural crest cell	pericyte	progenitor cell	stem cell	vein endothelial cell
ACTR3B	0.1020	0.0455	0.0187	0.1892	0.0659	0.0705	0.0779	0.0898	0.0105	0.0949	0.0383	0.0792	0.0765	0.1133	0.0697	0.0552	0.1770	0.0903	0.1174	0.1039	0.0758
DPP6	0.0017	0.0000	0.0425	0.4323	0.0290	0.0022	0.1094	0.0000	0.0043	0.0098	0.0039	0.0092	0.0015	0.0138	0.0391	0.0205	0.0107	0.0039	0.0066	0.0043	0.0041
ENSG00000203335	0.0000	0.0019	0.0000	0.0008	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0001	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000
PAXIP1-AS2	0.0193	0.0380	0.0131	0.0015	0.0319	0.0149	0.0020	0.0158	0.0033	0.0368	0.0228	0.0709	0.0122	0.0333	0.0284	0.0448	0.0016	0.0307	0.0143	0.0160	0.0329
PAXIP1	0.0850	0.0494	0.0408	0.0910	0.0746	0.0666	0.0566	0.0809	0.0094	0.0912	0.0546	0.0946	0.0730	0.0995	0.0681	0.0664	0.1123	0.0822	0.0903	0.0554	0.0605
ENSG00000272760	0.0053	0.0182	0.0116	0.0003	0.0129	0.0074	0.0019	0.0046	0.0009	0.0151	0.0117	0.0157	0.0178	0.0165	0.0062	0.0152	0.0007	0.0108	0.0036	0.0073	0.0101
ENSG00000273183	0.0015	0.0044	0.0000	0.0000	0.0017	0.0007	0.0003	0.0000	0.0019	0.0040	0.0006	0.0022	0.0015	0.0019	0.0004	0.0016	0.0000	0.0000	0.0000	0.0031	0.0016
PAXIP1-DT	0.3396	0.0469	0.0739	0.1664	0.1521	0.3572	0.2150	0.2615	0.0254	0.1416	0.0818	0.1533	0.3610	0.1698	0.2405	0.1190	0.2025	0.1301	0.2944	0.3234	0.0647
INSIG1-DT	0.0147	0.0058	0.0000	0.0219	0.0218	0.0063	0.0083	0.0126	0.0011	0.0096	0.0093	0.0065	0.0087	0.0153	0.0173	0.0125	0.0123	0.0128	0.0104	0.0056	0.0101
INSIG1	0.3749	0.2609	0.2627	0.2279	0.3136	0.2270	0.3280	0.0799	0.0504	0.1834	0.3381	0.2233	0.2644	0.1642	0.1643	0.1824	0.1388	0.1265	0.4268	0.0832	0.1444
LINC03010	0.0000	0.0000	0.0000	0.0005	0.0001	0.0000	0.0000	0.0000	0.0000	0.0015	0.0006	0.0166	0.0000	0.0012	0.0000	0.0026	0.0000	0.0007	0.0000	0.0000	0.0000
EN2	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CNPY1	0.0000	0.0000	0.0000	0.0011	0.0006	0.0007	0.0058	0.0000	0.0000	0.0008	0.0013	0.0000	0.0012	0.0012	0.0007	0.0008	0.0005	0.0000	0.0006	0.0002	0.0000
RBM33-DT	0.0829	0.0403	0.0367	0.0607	0.0333	0.0710	0.0903	0.0345	0.0248	0.0467	0.0835	0.0526	0.0675	0.0536	0.0830	0.0540	0.0605	0.0472	0.0554	0.0542	0.0554
RBM33	0.2663	0.2414	0.2442	0.2987	0.2362	0.1973	0.2471	0.2030	0.0678	0.2745	0.3013	0.2809	0.2149	0.3025	0.2283	0.2321	0.2918	0.2567	0.2553	0.2017	0.2394
SHH	0.2111	0.0009	0.0000	0.0031	0.0028	0.0872	0.0581	0.1229	0.0042	0.0016	0.0000	0.0013	0.1050	0.0014	0.0000	0.0052	0.0027	0.0017	0.4841	0.0690	0.0008
ENSG00000204876	0.0001	0.0010	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RNF32-DT	0.2503	0.0538	0.1210	0.2388	0.1691	0.1985	0.1986	0.2260	0.0351	0.0901	0.0743	0.0747	0.2299	0.1110	0.1309	0.0877	0.1944	0.1202	0.2855	0.1964	0.1457
RNF32	0.0283	0.0033	0.0068	0.0125	0.0069	0.0255	0.0273	0.0162	0.0045	0.0055	0.0042	0.0022	0.0312	0.0050	0.0034	0.0048	0.0066	0.0038	0.0308	0.0347	0.0066
RNF32-AS1	0.0029	0.0000	0.0000	0.0004	0.0001	0.0003	0.0004	0.0090	0.0000	0.0000	0.0000	0.0000	0.0034	0.0002	0.0000	0.0006	0.0000	0.0000	0.0018	0.0023	0.0012
LMBR1	0.1992	0.2055	0.2661	0.1344	0.0876	0.1237	0.1599	0.1579	0.0192	0.0768	0.0919	0.0949	0.1480	0.0966	0.1191	0.0835	0.1067	0.0848	0.1947	0.1474	0.2062
ENSG00000230033	0.0004	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0005	0.0000	0.0002	0.0000	0.0002	0.0010	0.0000
NOM1	0.1350	0.1622	0.2049	0.1405	0.1654	0.1174	0.1566	0.1362	0.0354	0.1781	0.1335	0.2161	0.1368	0.1970	0.1246	0.1698	0.2241	0.1982	0.1666	0.1444	0.2270
MNX1	0.0295	0.0000	0.0000	0.0010	0.0004	0.0425	0.1620	0.0457	0.0000	0.0005	0.0016	0.0000	0.0703	0.0003	0.0000	0.0006	0.0007	0.0000	0.0588	0.0879	0.0003
MNX1-AS2	0.0016	0.0007	0.0000	0.0000	0.0009	0.0020	0.0042	0.0000	0.0000	0.0007	0.0000	0.0000	0.0006	0.0011	0.0011	0.0011	0.0006	0.0000	0.0020	0.0051	0.0006
MNX1-AS1	0.0631	0.0016	0.0058	0.0008	0.0016	0.0731	0.1079	0.0749	0.0023	0.0009	0.0000	0.0022	0.1112	0.0003	0.0000	0.0015	0.0016	0.0012	0.0750	0.0894	0.0002
ENSG00000269446	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBE3C	0.1293	0.2079	0.1505	0.1146	0.1383	0.1240	0.1504	0.1075	0.0166	0.1387	0.1441	0.0950	0.1176	0.1259	0.1173	0.1335	0.1193	0.1408	0.1570	0.1241	0.1923
DNAJB6	1.0787	2.0359	1.3331	2.2716	1.8400	0.6832	1.0887	0.9777	0.2455	1.3729	1.1769	1.7855	0.7400	1.6392	1.8962	2.0605	1.6349	1.4223	0.9862	0.6393	1.6710
ENSG00000234210	0.0000	0.0000	0.0000	0.0004	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0004
ENSG00000223872	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0009
PTPRN2	0.1788	0.2697	0.3750	0.6343	0.0850	0.0872	0.3579	0.1267	0.0225	0.3845	0.1596	0.5869	0.1003	0.3496	0.1321	0.1417	0.2006	0.3145	0.1405	0.1160	0.5217
ENSG00000222012	0.0051	0.0000	0.0000	0.0008	0.0015	0.0012	0.0000	0.0000	0.0000	0.0030	0.0019	0.0041	0.0003	0.0023	0.0039	0.0035	0.0007	0.0030	0.0016	0.0003	0.0005
PTPRN2-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0001	0.0850	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000272839	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0270	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000225365	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002
LINC01022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003	0.0000
NCAPG2	0.0860	0.0660	0.1457	0.0867	0.1081	0.0629	0.0634	0.0334	0.0326	0.1104	0.0987	0.1598	0.0882	0.1555	0.0503	0.0710	0.1652	0.1384	0.0604	0.0313	0.1222
ESYT2	0.1185	0.2691	0.2003	0.0874	0.4464	0.0916	0.1095	0.0624	0.0234	0.1103	0.1125	0.1356	0.1112	0.0891	0.0722	0.2734	0.0631	0.1407	0.1019	0.0766	0.2549
DYNC2I1	0.3845	0.5534	0.3559	0.3862	0.4087	0.2294	0.3416	0.1843	0.0401	0.6096	0.1358	0.6442	0.2008	0.5212	0.3861	0.5534	0.3765	0.6211	0.2587	0.2061	0.7284
VIPR2	0.0098	0.0204	0.0176	0.0059	0.0561	0.0123	0.0006	0.0006	0.0089	0.4159	0.0127	0.7200	0.0043	0.2826	0.5215	0.0966	0.0057	0.3267	0.0048	0.0048	0.0072
PLCXD1	0.1109	0.2191	0.2845	0.0888	0.1257	0.0909	0.1042	0.0649	0.0191	0.1911	0.1247	0.2569	0.1167	0.2079	0.1847	0.1820	0.1407	0.1234	0.1152	0.1092	0.2679
GTPBP6	0.3048	0.2295	0.2647	0.2120	0.3443	0.2944	0.2528	0.3691	0.0496	0.2405	0.2043	0.3283	0.2722	0.2498	0.2783	0.2600	0.2639	0.2672	0.2898	0.2913	0.2659
LINC00685	0.2282	0.3806	0.1956	0.2943	1.1739	0.1131	0.2059	0.0470	0.0135	0.3811	0.1558	0.7133	0.0995	0.4018	0.4098	1.4603	0.2071	0.2965	0.1312	0.1330	0.2639
PPP2R3B	0.0554	0.0754	0.0679	0.0668	0.0490	0.0365	0.0535	0.0533	0.0164	0.0433	0.0635	0.0567	0.0509	0.0632	0.0785	0.0361	0.0946	0.0721	0.0426	0.0419	0.0984
ENSG00000281849	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0012	0.0000	0.0015	0.0006	0.0029
SHOX	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000237531	0.0022	0.0037	0.0000	0.0200	0.0052	0.0011	0.0026	0.0000	0.0000	0.0093	0.0042	0.0023	0.0029	0.0076	0.0018	0.0100	0.0131	0.0065	0.0045	0.0006	0.0070
CRLF2	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0002	0.0032	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012
CSF2RA	0.0030	0.0081	0.0049	0.0023	0.0123	0.0007	0.0000	0.0000	0.0023	0.0136	1.0360	0.0174	0.0033	0.0149	0.0222	0.0180	0.0041	0.0127	0.0007	0.0001	0.0050
IL3RA	0.0077	2.5731	0.1477	0.0069	0.0178	0.0021	0.0003	0.0000	0.0111	0.0104	0.1763	0.0144	0.0025	0.0056	0.0073	0.0086	0.0027	0.0405	0.0015	0.0009	0.9694
SLC25A6	12.3262	9.9181	12.0819	14.1595	16.4530	17.5588	16.7788	17.2033	1.7066	13.8029	12.8471	12.9778	16.6810	11.1655	12.2634	13.0949	13.3122	16.5246	15.3354	19.1233	12.5202
LINC00106	0.0020	0.0000	0.0000	0.0016	0.0003	0.0010	0.0061	0.0000	0.0000	0.0030	0.0062	0.0047	0.0000	0.0018	0.0024	0.0016	0.0016	0.0015	0.0003	0.0009	0.0006
ASMTL-AS1	0.0034	0.0040	0.0000	0.0048	0.0027	0.0038	0.0073	0.0020	0.0000	0.0035	0.0097	0.0000	0.0053	0.0028	0.0009	0.0030	0.0033	0.0048	0.0041	0.0048	0.0037
ASMTL	0.1736	0.3502	0.2596	0.1784	0.1882	0.1509	0.1246	0.1555	0.0310	0.1889	0.1980	0.1998	0.1406	0.2026	0.2969	0.2065	0.2004	0.1848	0.1569	0.1664	0.3130
P2RY8	0.0000	0.0037	0.0119	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0002	0.1616	0.0000	0.0000	0.0002	0.0018	0.0004	0.0000	0.0000	0.0000	0.0000	0.0103
AKAP17A	0.2906	0.3611	0.2898	0.2438	0.2902	0.2366	0.3171	0.3449	0.0335	0.3381	0.3831	0.3006	0.2773	0.3872	0.3216	0.3312	0.2728	0.3049	0.3506	0.2141	0.3795
