gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
TTLL10-AS1	0.0000	0.0000	0.0003	0.0006	0.0000	0.0000	0.0030	0.0000	0.0202	0.0002	0.0001	0.0000	0.0003	0.0029	0.0000	0.0000	0.0000	0.0000	0.0029	0.0012	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0030	0.0000
ENSG00000205236	0.0000	0.0019	0.0002	0.0008	0.0038	0.0000	0.0000	0.0000	0.0000	0.0026	0.0012	0.0089	0.0008	0.0038	0.0000	0.0006	0.0000	0.0000	0.0000	0.0037	0.0011	0.0000	0.0000	0.0220	0.0000	0.0000	0.0129	0.0000	0.0008	0.0000	0.0000	0.0000	0.0029	0.0000
SPDYE2	0.1068	0.0468	0.0416	0.0550	0.0768	0.1506	0.0953	0.2349	0.1461	0.0271	0.0429	0.0690	0.0236	0.0667	0.0435	0.0765	0.0649	0.1161	0.0501	0.0413	0.0355	0.0640	0.0768	0.0937	0.0293	0.0552	0.1206	0.0153	0.0441	0.0450	0.0170	0.1075	0.0356	0.0782
OR7E36P	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0087	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000
E2F4	0.2212	0.1693	0.2435	0.2343	0.2427	0.2240	0.2490	0.1494	0.1410	0.1617	0.1072	0.1723	0.1722	0.1032	0.1091	0.1762	0.1401	0.2407	0.2516	0.1669	0.1368	0.1442	0.1440	0.2220	0.2112	0.2399	0.0580	0.0293	0.1879	0.1214	0.1040	0.3173	0.1383	0.1457
KRT17P5	0.0000	0.0029	0.0003	0.0002	0.0000	0.0009	0.0000	0.0000	0.0000	0.0048	0.0002	0.0000	0.0064	0.0075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0026	0.0000	0.0000	0.0000	0.0002	0.0000
DGAT2L7P	0.0000	0.0220	0.0006	0.0013	0.0000	0.0048	0.0079	0.0000	0.0000	0.0548	0.0422	0.0611	0.0348	0.0149	0.0000	0.0000	0.0032	0.0000	0.0215	0.0000	0.0000	0.0060	0.0000	0.0000	0.0000	0.0000	0.0073	0.0069	0.0221	0.0000	0.0042	0.0000	0.0181	0.0640
PDE7A	6.1738	0.7245	3.1293	5.3129	3.5361	4.0948	0.4425	0.3879	0.3611	0.6849	0.0435	0.6767	0.2133	0.3363	0.2193	1.2374	6.3713	4.0375	0.4421	1.7768	1.4188	0.5016	1.1719	3.9420	0.6192	2.5426	7.1206	2.1504	0.3591	0.8786	2.2483	1.8962	0.2704	0.3499
TMEM170B	0.0220	0.0019	0.0213	0.0386	0.0403	0.0354	0.0312	0.0128	0.0490	0.0021	0.0014	0.0024	0.0182	0.0419	0.0869	0.0300	0.0559	0.0565	0.0043	0.0664	0.2447	0.0415	0.9750	0.6691	0.0934	0.0089	0.0177	0.9286	0.0061	0.0000	0.0106	0.0000	0.0075	0.0000
TRBV20OR9-2	0.0000	0.0000	0.0002	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0003	0.0303	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000
