gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
MIR6823	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278802	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PWWP4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC00624	0.0722	0.0589	0.0616	0.0821	0.0667	0.0724	0.0178	0.0415	0.0016	0.0570	0.0707	0.0614	0.0164	0.0583	0.0614	0.0327	0.0706	0.0745	0.0185	0.1359	0.0294	0.1124	0.0238	0.3302	0.0111	0.1194	0.0640	0.0000	0.0186	0.0619	0.0479	0.0930	0.0372	0.0153
ENSG00000278813	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278816	0.0013	0.0000	0.0013	0.0015	0.0000	0.0014	0.0000	0.0000	0.0000	0.0013	0.0010	0.0000	0.0035	0.0000	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0006	0.0000	0.0013	0.0000
ENSG00000278819	0.0041	0.0000	0.0064	0.0096	0.0000	0.0143	0.0000	0.0000	0.0000	0.0028	0.0017	0.0043	0.0007	0.0004	0.0000	0.0269	0.0297	0.0000	0.0025	0.0048	0.0009	0.0076	0.0000	0.0000	0.0073	0.0000	0.0070	0.0000	0.0017	0.0000	0.0009	0.0000	0.0065	0.0000
ENSG00000278822	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278824	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RN7SL640P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
H3C10	0.0023	0.2241	0.0720	0.0617	0.1119	0.0449	0.0000	0.0000	0.0000	0.1212	0.0437	0.2363	0.2591	0.1003	0.0000	0.0090	0.0583	0.0000	0.1112	1.0241	0.0059	0.0106	0.0000	0.0000	0.0000	0.0993	0.0421	0.0000	0.0251	0.0000	0.0147	0.0653	0.2286	0.4120
ENSG00000278829	0.0064	0.0090	0.0233	0.0189	0.0171	0.0294	0.0156	0.0000	0.0455	0.0053	0.0049	0.0038	0.0047	0.0074	0.0000	0.0053	0.0041	0.0221	0.0028	0.0138	0.0007	0.0000	0.0000	0.0000	0.0366	0.0126	0.0149	0.0263	0.0013	0.0000	0.0004	0.0685	0.0051	0.0000
ENSG00000278830	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0033	0.0001	0.0000	0.0000	0.0001	0.0093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278831	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0011	0.0086	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0064	0.0000	0.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0007	0.0000
ENSG00000278834	0.0090	0.0125	0.0049	0.0032	0.0087	0.0116	0.0485	0.0076	0.0488	0.0162	0.0127	0.0157	0.0051	0.0224	0.0271	0.0244	0.0000	0.0559	0.0168	0.0017	0.0147	0.0082	0.0000	0.0000	0.0108	0.0000	0.0000	0.0000	0.0173	0.0453	0.0020	0.0000	0.0043	0.0047
ENSG00000278837	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278840	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0003	0.0000	0.0000	0.0096	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0001	0.0000
ENSG00000278842	0.0000	0.0018	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0013	0.0092	0.0045	0.0079	0.0000	0.0039	0.0000	0.0000	0.0023	0.0021	0.0036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0064	0.0000	0.0030	0.0000
MRPL45	0.1282	0.0843	0.0863	0.0703	0.1037	0.0919	0.1370	0.1635	0.1689	0.0779	0.0790	0.0985	0.0912	0.0701	0.1388	0.1703	0.0704	0.1264	0.2333	0.0902	0.1263	0.0665	0.1471	0.2137	0.2035	0.1786	0.0794	0.0000	0.2044	0.0000	0.0824	0.0000	0.0537	0.1099
ENSG00000278847	0.0019	0.0013	0.0090	0.0024	0.0000	0.0095	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0124	0.0000	0.0052	0.0000	0.0000	0.0000	0.0170	0.0000	0.0000	0.0000	0.0042	0.0000	0.0015	0.0000
TP53TG3F	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MIR6879	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278852	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278854	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IGKV1D-12	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1705	0.0000	0.0000	0.0000
ENSG00000278859	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0070	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000
ENSG00000278860	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278861	0.0029	0.0048	0.0005	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0012	0.0019	0.0007	0.0000	0.0099	0.0000	0.0000	0.0235	0.0049	0.0000	0.0000	0.0000	0.0000	0.0000	0.0216	0.0000	0.0000	0.0184	0.0002	0.0000	0.0012	0.0000	0.0010	0.0006
ENSG00000278862	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0037	0.0000	0.0001	0.0000	0.0000	0.0000	0.0055	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278863	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0259	0.0003	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.0088	0.0000	0.0000	0.0000	0.0062	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000
ENSG00000278864	0.0000	0.0073	0.0002	0.0003	0.0017	0.0000	0.0000	0.0000	0.0316	0.0079	0.0031	0.0063	0.0124	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0180	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	0.0031	0.0000	0.0027	0.0000
ENSG00000278865	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0019	0.0000
ENSG00000278866	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278867	0.0000	0.0046	0.0123	0.0134	0.0212	0.0042	0.0199	0.0012	0.0000	0.0043	0.0072	0.0152	0.0160	0.0099	0.0052	0.0046	0.0429	0.0000	0.0065	0.0121	0.0045	0.0046	0.0044	0.0000	0.0399	0.0000	0.0399	0.0134	0.0030	0.0000	0.0023	0.0000	0.0067	0.0000
ENSG00000278869	0.0068	0.0119	0.0015	0.0006	0.0000	0.0038	0.0095	0.0024	0.0000	0.0077	0.0021	0.0016	0.0036	0.0029	0.0000	0.0000	0.0000	0.0000	0.0077	0.0020	0.0018	0.0000	0.0276	0.0000	0.0079	0.0000	0.0000	0.0341	0.0038	0.0000	0.0048	0.0000	0.0106	0.0000
OR51G1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278872	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PRO1804	0.0024	0.0106	0.0024	0.0029	0.0046	0.0048	0.0148	0.0395	0.0000	0.0190	0.0360	0.0142	0.0034	0.0586	0.0000	0.0052	0.0000	0.0264	0.0039	0.0445	0.0049	0.0052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0048	0.0288	0.0237	0.0000	0.0537	0.0000
ENSG00000278874	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278875	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278876	0.0014	0.0004	0.0000	0.0002	0.0029	0.0000	0.0000	0.0000	0.0000	0.0025	0.0005	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0006	0.0000	0.0002	0.0000
ENSG00000278877	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278879	0.0030	0.0009	0.0042	0.0070	0.0000	0.0084	0.0120	0.0269	0.0000	0.0024	0.0049	0.0000	0.0033	0.0027	0.1429	0.0193	0.0000	0.0000	0.0032	0.0021	0.0093	0.0177	0.0000	0.0000	0.0216	0.0000	0.0177	0.0000	0.0029	0.0000	0.0050	0.0000	0.0046	0.0000
ENSG00000278880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278881	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0142	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278884	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278885	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278886	0.0012	0.0030	0.0024	0.0008	0.0000	0.0000	0.0063	0.0000	0.0000	0.0074	0.0128	0.0084	0.0092	0.0067	0.0000	0.0100	0.0000	0.0000	0.0113	0.0055	0.0072	0.0000	0.0060	0.0000	0.0404	0.0000	0.0000	0.0000	0.0054	0.1040	0.0000	0.0000	0.0228	0.0728
ENSG00000278887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR2S2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278890	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0005	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278891	0.0000	0.0031	0.0000	0.0007	0.0000	0.0018	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0018	0.0045	0.0000	0.0027	0.0000	0.0000	0.0005	0.0001	0.0073	0.0000	0.0000	0.0000	0.0052	0.0000	0.0000	0.0000	0.0016	0.0000	0.0000	0.0000	0.0027	0.0003
ENSG00000278892	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278893	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000
ENSG00000278894	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278895	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0006	0.0000	0.0002	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278896	0.0052	0.0088	0.0039	0.0056	0.0055	0.0100	0.0099	0.0000	0.0000	0.0141	0.0157	0.0029	0.0094	0.0007	0.1438	0.0033	0.0172	0.0000	0.0064	0.0165	0.0088	0.0046	0.0000	0.0893	0.0000	0.0154	0.0169	0.0000	0.0042	0.0288	0.0308	0.0000	0.0441	0.0000
ENSG00000278897	0.0163	0.0057	0.0002	0.0003	0.0000	0.0000	0.0000	0.0488	0.0259	0.0005	0.0121	0.0000	0.0181	0.0251	0.0087	0.0035	0.0000	0.0000	0.0056	0.0116	0.0016	0.0050	0.0000	0.0000	0.1021	0.0000	0.0065	0.0000	0.0009	0.0781	0.0015	0.0000	0.0024	0.0000
ENSG00000278898	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278899	0.0021	0.0042	0.0008	0.0014	0.0000	0.0011	0.0055	0.0012	0.0126	0.0047	0.0020	0.0090	0.0091	0.0082	0.0000	0.0090	0.0000	0.0000	0.0013	0.0066	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0071	0.0063	0.0070	0.0000	0.0023	0.0000	0.0066	0.0000
ENSG00000278900	0.0043	0.0043	0.0012	0.0020	0.0047	0.0064	0.0020	0.0121	0.0000	0.0037	0.0004	0.0088	0.0033	0.0062	0.0000	0.0000	0.0000	0.0279	0.0016	0.0042	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0024	0.0000	0.0037	0.0000
ENSG00000278901	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0091	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0063	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278902	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278903	0.0000	0.0101	0.0007	0.0043	0.0000	0.0036	0.0151	0.1089	0.0000	0.0083	0.0047	0.0078	0.0016	0.0364	0.0044	0.0075	0.0062	0.0000	0.0167	0.0190	0.0039	0.0450	0.0098	0.0000	0.0568	0.0000	0.0149	0.0408	0.0080	0.0000	0.0016	0.0000	0.0175	0.0000
ENSG00000278905	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278907	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278908	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278909	0.0061	0.0008	0.0100	0.0146	0.0292	0.0117	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0034	0.0015	0.0093	0.0025	0.0095	0.0345	0.0383	0.0064	0.0297	0.0114	0.0090	0.3134	0.0256	0.0000	0.0000	0.0000	0.0057	0.0000	0.0031	0.0000	0.0073	0.0156
BANCR	0.0000	0.0000	0.0007	0.0008	0.0000	0.0000	0.0027	0.0000	0.0000	0.0001	0.0003	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278911	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000
ENSG00000278912	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0128	0.0000
ENSG00000278913	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278914	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000278915	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CEP83-DT	0.0057	0.0148	0.0028	0.0069	0.0055	0.0129	0.0000	0.0000	0.0137	0.0125	0.0051	0.0120	0.0261	0.0083	0.0061	0.0288	0.0000	0.0000	0.0093	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0144	0.0000	0.0000	0.0022	0.0000	0.0010	0.0831	0.0119	0.0239
ENSG00000278917	0.0000	0.0000	0.0000	0.0003	0.0000	0.0025	0.0000	0.0000	0.0000	0.0010	0.0012	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0018	0.0000	0.0005	0.0000
