gene	tau	top_cell_state	top_expr	n_states
ZNF207	0.5522	neutrophil	2.5387	34
UQCRC1	0.7829	paneth cell of epithelium of small intestine	2.6068	34
STARD3NL	0.5559	gamma-delta T cell	0.7931	34
CD9	0.9533	enteroglial cell	26.9283	34
HHATL	0.9813	enterocyte of epithelium proper of duodenum	0.0007	34
NCAPD2	0.6798	regulatory T cell	0.3444	34
IFFO1	0.8562	pericyte	0.4011	34
GIPR	0.9240	pericyte	1.1180	34
PHF7	0.6507	enterocyte of epithelium proper of jejunum	0.2412	34
SEMA3G	0.9573	endothelial cell of arteriole	0.2061	34
NISCH	0.5997	regulatory T cell	0.6133	34
STAB1	0.9917	macrophage	8.4336	34
FUZ	0.7196	myofibroblast cell	0.1577	34
SLC6A13	0.9346	enterocyte of epithelium proper of duodenum	0.0943	34
IDS	0.7253	innate lymphoid cell	1.6878	34
PRSS3	0.8852	enterocyte of epithelium proper of ileum	7.3809	34
ZNF200	0.8129	endothelial cell of arteriole	0.2159	34
CD4	0.9284	regulatory T cell	1.9336	34
LRRC23	0.6603	fibroblast	0.3918	34
BTK	0.8576	macrophage	0.6529	34
HFE	0.8561	myofibroblast cell	0.1853	34
SCMH1	0.6168	myofibroblast cell	2.1776	34
FYN	0.8184	natural killer cell	40.6381	34
HIVEP2	0.7057	neutrophil	7.9611	34
FMO1	0.9589	enterocyte of epithelium proper of ileum	0.2201	34
ELOA	0.5646	macrophage	0.4371	34
LYPLA2	0.5401	paneth cell of epithelium of small intestine	0.2814	34
CLCN6	0.6411	monocyte	0.4581	34
MRC2	0.9465	fibroblast	0.9892	34
NME1-NME2	0.9790	endothelial cell of venule	0.0302	34
SLC6A7	0.9205	small intestine goblet cell	0.3427	34
TSPAN9	0.8782	endothelial cell of lymphatic vessel	1.5361	34
BTBD7	0.6390	macrophage	3.6310	34
APBA3	0.5925	natural killer cell	0.1528	34
MKS1	0.8652	transit amplifying cell of small intestine	0.2591	34
ABHD5	0.7311	neutrophil	3.0492	34
ANOS1	0.9641	enteroglial cell	0.2586	34
AKAP8L	0.4497	gamma-delta T cell	0.9361	34
MBTD1	0.5350	intestinal tuft cell	0.9601	34
UTP18	0.4767	innate lymphoid cell	0.4900	34
RNF216	0.5890	myofibroblast cell	1.8736	34
TTC19	0.5551	myeloid dendritic cell	2.5772	34
PTBP1	0.4111	transit amplifying cell of small intestine	1.0078	34
DPF1	0.9053	pericyte	0.0288	34
SYT7	0.9775	enteroendocrine cell of small intestine	1.3560	34
LARS2	0.5217	endothelial cell of venule	0.4152	34
PIK3C2A	0.7592	endothelial cell of venule	4.3178	34
PLAUR	0.9289	neutrophil	26.7582	34
ANLN	0.9505	intestinal tuft cell	0.9479	34
WIZ	0.8163	pericyte	0.3334	34
RABGAP1	0.7361	myofibroblast cell	3.0474	34
DCN	0.9980	fibroblast	69.3632	34
QPCTL	0.6192	mast cell	0.2159	34
PPP5C	0.6535	endothelial cell of venule	0.4937	34
CEP68	0.8178	endothelial cell of lymphatic vessel	1.5839	34
MAP4K3	0.6052	intestinal tuft cell	3.4434	34
ZBTB32	0.9625	regulatory T cell	0.7465	34
TYROBP	0.9138	macrophage	7.7754	34
LDAF1	0.7986	myofibroblast cell	0.5550	34
GABRA3	0.7269	B cell	0.0147	34
BRCA1	0.7448	intestinal tuft cell	0.3217	34
ERCC1	0.6996	innate lymphoid cell	2.5078	34
